ds,yhat
2021-05-02,21967.471426784294
2021-05-03,21169.581589565878
2021-05-04,22754.994601520593
2021-05-05,21171.296491067496
2021-05-06,23005.132204992937
2021-05-07,22969.828812344396
2021-05-08,19942.09111645794
2021-05-09,19740.91148240073
2021-05-10,18770.23402131611
2021-05-11,20231.69968388624
2021-05-12,18572.804728099385
2021-05-13,20379.096493951456
2021-05-14,20361.84975498782
2021-05-15,17394.837627707246
2021-05-16,17293.336696989503
2021-05-17,16456.90399148426
2021-05-18,18082.249043374817
2021-05-19,16611.53031928855
2021-05-20,18624.696139111693
2021-05-21,18827.30951900437
2021-05-22,16087.466996952617
2021-05-23,16214.947218463316
2021-05-24,15604.123180678092
2021-05-25,17446.9578797676
2021-05-26,16181.409498169458
2021-05-27,18383.86352207466
2021-05-28,18757.028995838373
2021-05-29,16166.907298689926
2021-05-30,16421.968148129352
2021-05-31,15916.066283817765
2021-06-01,17841.41877080281
2021-06-02,16636.96988095012
2021-06-03,18880.762379674325
2021-06-04,19277.754415900872
2021-06-05,16696.69290768468
2021-06-06,16949.18106833873
2021-06-07,16432.47682136332
2021-06-08,18342.345596530053
2021-06-09,17121.298182483326
2021-06-10,19350.836225569066
2021-06-11,19739.148293925788
2021-06-12,17157.87095513512
2021-06-13,17421.055813326464
2021-06-14,16927.88220256563
2021-06-15,18875.441542796885
2021-06-16,17706.92604024638
2021-06-17,20003.84576510225
2021-06-18,20473.717863272963
2021-06-19,17986.842558879
2021-06-20,18355.30646621978
2021-06-21,17975.751856240673
2021-06-22,20042.236237756606
2021-06-23,18994.512740477392
2021-06-24,21410.35265107474
2021-06-25,21993.350768103795
2021-06-26,19609.824815732187
2021-06-27,20067.945796149903
2021-06-28,19760.63416228069
2021-06-29,21878.542394103893
2021-06-30,20858.450782452677
2021-07-01,23275.694288282324
2021-07-02,23832.0579590228
2021-07-03,21392.74935334179
2021-07-04,21765.582535737496
2021-07-05,21343.906749798185
2021-07-06,23319.59917471379
2021-07-07,22131.448022812307
2021-07-08,24357.54395081364
2021-07-09,24703.118022206058
2021-07-10,22037.436061202596
2021-07-11,22172.88594558355
2021-07-12,21507.793477692845
2021-07-13,23239.289243528117
2021-07-14,21811.556116585103
2021-07-15,23808.079077197755
2021-07-16,23939.339480104798
2021-07-17,21079.567584005457
2021-07-18,21045.693901242157
2021-07-19,20240.03873409421
2021-07-20,21863.065991764877
2021-07-21,20361.534136615825
2021-07-22,22320.66874644918
2021-07-23,22451.801115432096
2021-07-24,19629.088425234528
2021-07-25,19668.457070379547
2021-07-26,18970.309013162994
2021-07-27,20732.31689386177
2021-07-28,19397.639849492924
2021-07-29,21547.182921525964
2021-07-30,21887.342268371132
2021-07-31,19286.848955771136
2021-08-01,19555.84967272477
2021-08-02,19088.76062201439
2021-08-03,21077.216392898034
2021-08-04,19958.441666283616
2021-08-05,22307.664457121664
2021-08-06,22826.00897593545
2021-08-07,20377.47690397565
2021-08-08,20768.151715526925
2021-08-09,20389.158946254272
2021-08-10,22429.701342307028
2021-08-11,21325.494361458954
2021-08-12,23651.21901597771
